modification	D_melanogaster_URL	start_build	end_build	liftover_URL	liftover_path
H2AV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27731/suppl/GSE27731%5Frepset.9699867.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K9me2-Ab2	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27741/suppl/GSE27741%5Frepset.9274430.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H4K20me	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27743/suppl/GSE27743%5Frepset.3211356.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP1b-Q4114	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27746/suppl/GSE27746%5Frepset.9699868.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K27me2-TJ	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27790/suppl/GSE27790%5Frepset.9273385.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32728/suppl/GSE32728%5Frepset.4162650.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
CTCF	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32750/suppl/GSE32750%5Frepset.4162228.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H2BK5ac	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32752/suppl/GSE32752%5Frepset.3833936.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP1c-Q4064	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32760/suppl/GSE32760%5Frepset.9704082.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
RNAPolII-abcam	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32764/suppl/GSE32764%5Frepset.9702780.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32768/suppl/GSE32768%5Frepset.4162651.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H4	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32771/suppl/GSE32771%5Frepset.4620571.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K9me1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32833/suppl/GSE32833%5Frepset.3506201.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44465/suppl/GSE44465%5Frepset.3506199.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
